"PSRC_trips","App_data_estimated_trips","TAZ"
1875,582.12,1
4393,1458.15,2
6814,2578.39,3
8704,4711.65,4
3440,946.03,5
2247,854.96,6
3773,3273.15,7
3183,1348.41,8
1580,717.29,9
2763,841.43,10
2887,1692.05,11
2697,664.59,12
4574,2247.05,13
4748,1157.99,14
3016,911.96,15
4980,1852.17,16
7057,2878.44,17
4611,2019.07,18
3652,1323.08,19
9081,4376.1,20
2703,898.26,21
2502,963.6,22
7697,2424.99,23
6101,2605.36,24
5512,1760.57,25
4175,1525.92,26
4139,1462.29,27
719,591.05,28
3678,1546.83,29
3274,1390.73,30
8030,4001,31
2143,2075.2,32
1203,1158.6,33
1733,1009.36,34
2990,1057.33,35
2350,562.59,36
2285,747.89,37
4455,2149.46,38
5491,1186.75,39
4378,939.79,40
3182,1809.77,41
3220,1023.94,42
2840,919.76,43
1719,800.93,44
3856,1985.65,45
1793,1310.96,46
5412,2645.31,47
5903,2636.93,48
3273,1410.95,49
1209,344.66,50
1618,494.05,51
1847,578.27,52
1050,572.13,53
1353,522.05,54
1921,285.63,55
1256,617.16,56
1879,523.85,57
2592,822.96,58
3054,1081.35,59
1849,770.6,60
2474,739.54,61
2164,915.64,62
1477,549.98,63
2345,854.53,64
2162,886,65
3020,625.25,66
7307,3433.83,67
2520,623.27,68
11111,9368.55,69
6400,2832.17,70
4792,3161.15,71
5650,1274.31,72
3357,1595.52,73
1479,759.21,74
2391,1064.31,75
3019,1509.19,76
2458,1037.39,77
2312,1208.95,78
3588,1008.3,79
4176,1208.11,80
1865,1087.3,81
1524,448,82
5275,1374.9,83
2521,915.89,84
2094,608.07,85
6833,1790.71,86
4092,1745.04,87
1703,566.79,88
2198,959.66,89
5124,2677.3,90
5579,2231.39,91
4455,1447.59,92
6413,2593.84,93
2342,830.29,94
2000,850.33,95
7112,1048.11,96
5282,845.65,97
4918,1030.46,98
1499,399.28,99
3722,985.86,100
2243,1235.98,101
3414,1142.52,102
1757,887.48,103
384,217.89,104
1375,2753,105
715,517.71,106
1164,1030.5,107
860,270.88,108
1426,490.78,109
1555,568.49,110
2090,673.11,111
1031,420.25,112
1264,484.64,113
1988,348.44,114
652,409.37,115
1219,436.9,116
1471,443.67,117
3164,670.26,118
5283,571.91,119
6664,417.37,120
5700,657.48,121
4909,539.11,122
8004,841.92,123
7481,679.12,124
3278,518.44,125
864,326.79,126
1961,1142.64,127
2675,954.77,128
2811,1438.15,129
4663,1846.39,130
2341,1067.33,131
2460,743.38,132
2904,1142.27,133
2456,715.65,134
3436,1523.09,135
1925,699.42,136
1875,935.55,137
1810,533,138
2602,686.96,139
1639,425.2,140
3172,1235.06,141
3905,665.42,142
3317,680.39,143
2246,598.24,144
1844,570.71,145
1249,605.54,146
1640,473.28,147
2245,462.13,148
1286,384.28,149
1447,382.79,150
218,701.51,151
923,1421.25,152
1748,515.67,153
1230,478.37,154
1239,482.67,155
1349,398.56,156
1616,616.96,157
1277,453.9,158
1643,611.35,159
1588,736.95,160
2812,985.16,161
1876,746.08,162
2542,1125.17,163
1478,423.09,164
1668,970.85,165
1802,363.37,166
2550,743.38,167
2474,857.99,168
2755,803.17,169
2526,777.52,170
2056,754.46,171
2735,916.5,172
992,576.22,173
407,3307.05,174
