t_end,t_start,Driver's Exit Time,Driver's Return Time,Notes,Packages?,Queue,TNC Sign,Passenger Access Door,Trunk Access,Zone,week,right_censor,left_censor,Dwell_time,Conflict_long,Conflict_short,Site,Bound,event_type,event_type_TRB,loc_type,loc_type_short,Num_individuals,veh_type,veh_type_short,curb_use_type,Taxi_x,Paid_x,Unauth_x,Unknown_x,0-10,10¤ë15¤é,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-200,Volume,Mean_SPD,Condition,Temp_(F),Taxi_y,Paid_y,Unauth_y,Unknown_y,All_occup,PLZ_occup,garage_occup,period
12/3/2018 8:31,12/3/2018 8:00,-,-,,No,,Yes,Back,No,27,1,1,1,31.75,None,None,BTW Thomas & John St,SB,Passenger load,Passenger load,Curb,Curb,2,TNC,TNC & Taxi,Charter bus / shuttle bus / taxi,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.25,Fog,38,1,1,0,0,2,0,0.318485963,Morning
12/3/2018 8:16,12/3/2018 8:00,,,,No,0,-,,No,2,1,1,1,16.93333333,None,None,BTW Thomas & Harrison St,SB,Un-parked,Un-parked,Curb,Curb,1,Large passenger vehicle,Passenger vehicle,Paid parking,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.41666667,Fog,38,0,1,0,0,1,0,0.318485963,Morning
12/3/2018 9:09,12/3/2018 8:00,-,-,,No,,-,Front,No,23,1,1,1,69.03333333,None,None,BTW Thomas & John St,SB,Un-parked,Un-parked,Curb,Curb,1,Passenger vehicle,Passenger vehicle,Paid parking,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.25,Fog,38,1,1,0,0,2,0,0.318485963,Morning
12/3/2018 8:00,12/3/2018 8:00,-,-,,No,0,Yes,Back,No,18,1,1,1,0.283333333,veh-ped,veh-ped,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Half and Half,Curb,1,TNC,TNC & Taxi,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.83333333,Fog,38,0,0,1,0,1,0,0.318485963,Morning
12/3/2018 8:04,12/3/2018 8:01,-,-,,No,0,-,Front,No,17,1,1,1,2.55,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Curb,Curb,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.83333333,Fog,38,0,0,1,0,1,0,0.318485963,Morning
12/3/2018 8:03,12/3/2018 8:02,-,-,,No,0,No,Front,No,16,1,1,1,0.283333333,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Curb,Curb,1,TNC,TNC & Taxi,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.83333333,Fog,38,0,0,2,0,2,0,0.318485963,Morning
12/3/2018 8:09,12/3/2018 8:03,8:03:50,8:09:31,,Yes,0,-,Front,Yes,18,1,1,1,6.733333333,None,None,BTW Thomas & Harrison St,NB,Parked,Parked,Curb,Curb,1,Truck/Large passenger van,,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.83333333,Fog,38,0,0,3,0,3,0,0.318485963,Morning
12/3/2018 8:04,12/3/2018 8:03,-,-,,No,,-,Front,Yes,25,1,1,1,1.133333333,None,None,BTW Thomas & John St,SB,Passenger unload,Passenger unload,Curb,Curb,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.25,Fog,38,1,1,1,0,3,0,0.318485963,Morning
12/3/2018 8:03,12/3/2018 8:03,,,,No,0,-,Front,No,3,1,1,1,0.35,None,None,BTW Thomas & Harrison St,SB,Passenger unload,Passenger unload,Half and Half,Curb,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.41666667,Fog,38,0,1,1,0,2,0,0.318485963,Morning
12/3/2018 8:04,12/3/2018 8:04,-,-,,No,0,No,Back,No,16,1,1,1,0.15,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Street,Street,1,TNC,TNC & Taxi,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.83333333,Fog,38,0,0,2,0,2,0,0.318485963,Morning
12/3/2018 8:08,12/3/2018 8:07,,,,No,0,-,Front,No,6,1,1,1,1.033333333,None,None,BTW Thomas & Harrison St,SB,Passenger unload,Passenger unload,Curb,Curb,1,Passenger vehicle,Passenger vehicle,Passenger load zone,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,Fog,38,0,1,0,0,2,0,0.335736456,Morning
12/3/2018 8:07,12/3/2018 8:07,-,-,,No,0,Yes,Back,No,16,1,1,1,0.133333333,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Street,Street,1,TNC,TNC & Taxi,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.83333333,Fog,38,0,0,2,0,2,0,0.335736456,Morning
12/3/2018 8:08,12/3/2018 8:08,-,-,,No,,-,Front,No,26,1,1,1,0.233333333,None,None,BTW Thomas & John St,SB,Passenger unload,Passenger unload,Street,Street,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11.25,Fog,38,1,1,1,0,3,0,0.335736456,Morning
12/3/2018 8:11,12/3/2018 8:11,-,-,,No,,Yes,Back,No,26,1,1,1,0.15,None,None,BTW Thomas & John St,SB,Passenger unload,Passenger unload,Street,Street,1,TNC,TNC & Taxi,Unauthorized,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15.83333333,Fog,38,1,1,1,0,3,0,0.353968455,Morning
12/3/2018 8:11,12/3/2018 8:11,-,-,,No,0,No,Back,No,18,1,1,1,0.15,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Curb,Curb,1,TNC,TNC & Taxi,Unauthorized,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,Fog,38,0,0,1,0,1,0,0.353968455,Morning
12/3/2018 8:15,12/3/2018 8:14,-,-,Exited thru front door then accessed back door to grab baggage,No,0,-,Both,No,18,1,1,1,0.733333333,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Half and Half,Curb,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,Fog,38,0,0,1,0,1,0,0.353968455,Morning
12/3/2018 8:30,12/3/2018 8:16,-,-,,No,,-,Front,Yes,24,1,1,1,14.85,None,None,BTW Thomas & John St,SB,Parked,Parked,Curb,Curb,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16.11111111,Fog,38,1,1,1,0,3,0,0.372333921,Morning
12/3/2018 8:16,12/3/2018 8:16,-,-,,No,0,Yes,Back,No,18,1,1,1,0.333333333,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Curb,Curb,1,TNC,TNC & Taxi,Unauthorized,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.83333333,Fog,38,0,0,1,0,1,0,0.372333921,Morning
12/3/2018 8:16,12/3/2018 8:16,-,-,,No,,-,Front,No,26,1,1,1,0.583333333,veh-veh,veh-veh,BTW Thomas & John St,SB,Passenger unload,Passenger unload,Curb,Curb,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16.11111111,Fog,38,1,1,2,0,4,0,0.372333921,Morning
12/3/2018 8:18,12/3/2018 8:18,-,-,,No,,-,Back,No,26,1,1,1,0.216666667,None,None,BTW Thomas & John St,SB,Passenger unload,Passenger unload,Curb,Curb,1,Large passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16.11111111,Fog,38,1,1,2,0,4,0,0.372333921,Morning
12/3/2018 8:21,12/3/2018 8:19,,,,No,0,-,Front,No,7,1,1,1,1.116666667,None,None,BTW Thomas & Harrison St,SB,Passenger unload,Passenger unload,Curb,Curb,1,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.85714286,Fog,38,0,0,1,0,1,0,0.372333921,Morning
